ID,FIRSTNAME,LASTNAME,USERNAME,PASSWORD,BIRTH_DATE,JOIN_DATE
21,Lusandros,Kaboures,KabouresLusandros178,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1954-03-11,2018-01-02
22,Melina,Petridou,PetridouMelina219,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1940-11-03,2015-02-11
23,Theodoulos,Stauropoulos,StauropoulosTheodoulos407,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1941-03-19,2022-10-18
24,Khristophora,Mpika,MpikaKhristophora322,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1992-02-29,2017-01-16
25,Ieremias,Digkas,DigkasIeremias857,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1949-02-24,2021-01-31
26,Theopiste,Nikolopoulou,NikolopoulouTheopiste936,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1972-01-15,2020-02-23
27,Eumenios,Euaggelatos,EuaggelatosEumenios898,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1942-05-16,2017-03-10
28,Zakharoula,Euaggelide,EuaggelideZakharoula65,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1979-06-07,2011-05-29
29,Paris,Biolatos,BiolatosParis204,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1978-12-11,2016-10-21
30,Louloudenia,Papanikolaou,PapanikolaouLouloudenia910,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1973-01-30,2008-11-10
31,Eustratios,Gribas,GribasEustratios353,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1979-10-03,2010-06-28
32,Marigo,Demetriou,DemetriouMarigo770,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1976-05-11,2013-12-23
33,Nathanael,Piagkos,PiagkosNathanael349,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1960-02-03,2020-04-03
34,Theologia,Kokkinou,KokkinouTheologia22,$2b$10$myWMjyceztjvnyGPdVppfuFjs7NJysEjFdTydvKYUI.KEmpPm.aoa,1964-02-27,2008-02-26
